A094676	FiniteSequence	1,210526315789473684,3103448275862068965517241379,410256,510204081632653061224489795918367346938775,6101694915254237288135593220338983050847457627118644067796,7101449275362318840579,8101265822784,91011235955056179775280898876404494382022471	# 9 a(n) = least number m such that the quotient m/n is obtained merely by shifting the leftmost digit of m to the right end and the second digit of m is not zero.
A095437	FiniteSequence	21,23,25,30,33,41,111,210,10101,111111111111111111111	# 10 a(n) = 21 written in base 10 - n.
A095439	FiniteSequence	20,22,24,26,31,34,42,112,211,10110,1111111111111111111111	# 11 a(n) = 22 written in base 11 - n.
A095441	FiniteSequence	21,23,25,27,32,35,43,113,212,10111,11111111111111111111111	# 11 a(n) = 23 written in base 11 - n.
A095443	FiniteSequence	21,23,25,27,31,34,41,100,121,221,11001,1111111111111111111111111	# 12 a(n) = 25 written in base 12 - n.
A095445	FiniteSequence	20,22,24,26,28,32,35,42,101,122,222,11010,11111111111111111111111111	# 13 a(n) = 26 written in base 13 - n.
A095447	FiniteSequence	21,23,25,27,30,33,36,43,102,123,1000,11011,111111111111111111111111111	# 13 a(n) = 27 written in base 13 - n.
A095449	FiniteSequence	20,22,24,26,28,31,34,40,44,103,130,1001,11100,1111111111111111111111111111	# 14 a(n) = 28 written in base 14 - n.
A095451	FiniteSequence	21,23,25,27,29,32,35,41,45,104,131,1002,11101,11111111111111111111111111111	# 14 a(n) = 29 written in base 14 - n.
A095453	FiniteSequence	20,22,24,26,28,30,33,36,42,50,110,132,1010,11110,111111111111111111111111111111	# 15 a(n) = 30 written in base 15 - n.
A095455	FiniteSequence	21,23,25,27,29,31,34,37,43,51,111,133,1011,11111,1111111111111111111111111111111	# 15 a(n) = 31 written in base 15 - n.
A095457	FiniteSequence	32,35,40,44,52,112,200,1012,100000,11111111111111111111111111111111	# 10 a(n) = 32 written in base 10 - n.
A095459	FiniteSequence	21,23,25,27,29,30,33,36,41,45,53,113,201,1020,100001,111111111111111111111111111111111	# 16 a(n) = 33 written in base 16 - n.
A095461	FiniteSequence	31,34,37,42,46,54,114,202,1021,100010,1111111111111111111111111111111111	# 11 a(n) = 34 written in base 11 - n.
A095463	FiniteSequence	32,35,38,43,50,55,120,203,1022,100011,11111111111111111111111111111111111	# 11 a(n) = 35 written in base 11 - n.
A095465	FiniteSequence	30,33,36,40,44,51,100,121,210,1100,100100,111111111111111111111111111111111111	# 12 a(n) = 36 written in base 12 - n.
A095467	FiniteSequence	31,34,37,41,45,52,101,122,211,1101,100101,1111111111111111111111111111111111111	# 12 a(n) = 37 written in base 12 - n.
A095469	FiniteSequence	32,35,38,42,46,53,102,123,212,1102,100110,11111111111111111111111111111111111111	# 12 a(n) = 38 written in base 12 - n.
A095471	FiniteSequence	30,33,36,39,43,47,54,103,124,213,1110,100111,111111111111111111111111111111111111111	# 13 a(n) = 39 written in base 13 - n.
A095473	FiniteSequence	31,34,37,40,44,50,55,104,130,220,1111,101000,1111111111111111111111111111111111111111	# 13 a(n) = 40 written in base 13 - n.
A095475	FiniteSequence	32,35,38,41,45,51,56,105,131,221,1112,101001,11111111111111111111111111111111111111111	# 13 a(n) = 41 written in base 13 - n.
A095477	FiniteSequence	30,33,36,39,42,46,52,60,110,132,222,1120,101010,111111111111111111111111111111111111111111	# 14 a(n) = 42 written in base 14 - n.
A095479	FiniteSequence	43,47,53,61,111,133,223,1121,101011,1111111111111111111111111111111111111111111	# 10 a(n) = 43 written in base 10 - n.
A095481	FiniteSequence	32,35,38,40,44,48,54,62,112,134,230,1122,101100,11111111111111111111111111111111111111111111	# 14 a(n) = 44 written in base 14 - n.
A095483	FiniteSequence	30,33,36,39,41,45,50,55,63,113,140,231,1200,101101,111111111111111111111111111111111111111111111	# 15 a(n) = 45 written in base 15 - n.
A095485	FiniteSequence	42,46,51,56,64,114,141,232,1201,101110,1111111111111111111111111111111111111111111111	# 11 a(n) = 46 written in base 11 - n.
A095487	FiniteSequence	43,47,52,57,65,115,142,233,1202,101111,11111111111111111111111111111111111111111111111	# 11 a(n) = 47 written in base 11 - n.
A095489	FiniteSequence	30,33,36,39,40,44,48,53,60,66,120,143,300,1210,110000,111111111111111111111111111111111111111111111111	# 16 a(n) = 48 written in base 16 - n.
A095491	FiniteSequence	41,45,49,54,61,100,121,144,301,1211,110001,1111111111111111111111111111111111111111111111111	# 12 a(n) = 49 written in base 12 - n.
A095493	FiniteSequence	42,46,50,55,62,101,122,200,302,1212,110010,11111111111111111111111111111111111111111111111111	# 12 a(n) = 50 written in base 12 - n.
A095495	FiniteSequence	43,47,51,56,63,102,123,201,303,1220,110011,111111111111111111111111111111111111111111111111111	# 12 a(n) = 51 written in base 12 - n.
A095497	FiniteSequence	40,44,48,52,57,64,103,124,202,310,1221,110100,1111111111111111111111111111111111111111111111111111	# 13 a(n) = 52 written in base 13 - n.
A095499	FiniteSequence	41,45,49,53,58,65,104,125,203,311,1222,110101,11111111111111111111111111111111111111111111111111111	# 13 a(n) = 53 written in base 13 - n.
A095501	FiniteSequence	54,60,66,105,130,204,312,2000,110110,111111111111111111111111111111111111111111111111111111	# 10 a(n) = 54 written in base 10 - n.
A095503	FiniteSequence	43,47,50,55,61,67,106,131,210,313,2001,110111,1111111111111111111111111111111111111111111111111111111	# 13 a(n) = 55 written in base 13 - n.
A095505	FiniteSequence	40,44,48,51,56,62,70,110,132,211,320,2002,111000,11111111111111111111111111111111111111111111111111111111	# 14 a(n) = 56 written in base 14 - n.
A095507	FiniteSequence	41,45,49,52,57,63,71,111,133,212,321,2010,111001,111111111111111111111111111111111111111111111111111111111	# 14 a(n) = 57 written in base 14 - n.
A095509	FiniteSequence	53,58,64,72,112,134,213,322,2011,111010,1111111111111111111111111111111111111111111111111111111111	# 11 a(n) = 58 written in base 11 - n.
A095511	FiniteSequence	54,59,65,73,113,135,214,323,2012,111011,11111111111111111111111111111111111111111111111111111111111	# 11 a(n) = 59 written in base 11 - n.
A095513	FiniteSequence	40,44,48,50,55,60,66,74,114,140,220,330,2020,111100,111111111111111111111111111111111111111111111111111111111111	# 15 a(n) = 60 written in base 15 - n.
A095515	FiniteSequence	41,45,49,51,56,61,67,75,115,141,221,331,2021,111101,1111111111111111111111111111111111111111111111111111111111111	# 15 a(n) = 61 written in base 15 - n.
A095517	FiniteSequence	52,57,62,68,76,116,142,222,332,2022,111110,11111111111111111111111111111111111111111111111111111111111111	# 12 a(n) = 62 written in base 12 - n.
A095519	FiniteSequence	53,58,63,70,77,120,143,223,333,2100,111111,111111111111111111111111111111111111111111111111111111111111111	# 12 a(n) = 63 written in base 12 - n.
A095521	FiniteSequence	54,59,64,71,100,121,144,224,1000,2101,1000000,1111111111111111111111111111111111111111111111111111111111111111	# 12 a(n) = 64 written in base 12 - n.
A095523	FiniteSequence	65,72,101,122,145,230,1001,2102,1000001,11111111111111111111111111111111111111111111111111111111111111111	# 10 a(n) = 65 written in base 10 - n.
A095525	FiniteSequence	51,56,60,66,73,102,123,150,231,1002,2110,1000010,111111111111111111111111111111111111111111111111111111111111111111	# 13 a(n) = 66 written in base 13 - n.
A095527	FiniteSequence	52,57,61,67,74,103,124,151,232,1003,2111,1000011,1111111111111111111111111111111111111111111111111111111111111111111	# 13 a(n) = 67 written in base 13 - n.
A095529	FiniteSequence	53,58,62,68,75,104,125,152,233,1010,2112,1000100,11111111111111111111111111111111111111111111111111111111111111111111	# 13 a(n) = 68 written in base 13 - n.
A095531	FiniteSequence	54,59,63,69,76,105,126,153,234,1011,2120,1000101,111111111111111111111111111111111111111111111111111111111111111111111	# 13 a(n) = 69 written in base 13 - n.
A095533	FiniteSequence	64,70,77,106,130,154,240,1012,2121,1000110,1111111111111111111111111111111111111111111111111111111111111111111111	# 11 a(n) = 70 written in base 11 - n.
A095535	FiniteSequence	65,71,78,107,131,155,241,1013,2122,1000111,11111111111111111111111111111111111111111111111111111111111111111111111	# 11 a(n) = 71 written in base 11 - n.
A095537	FiniteSequence	52,57,60,66,72,80,110,132,200,242,1020,2200,1001000,111111111111111111111111111111111111111111111111111111111111111111111111	# 14 a(n) = 72 written in base 14 - n.
A095539	FiniteSequence	53,58,61,67,73,81,111,133,201,243,1021,2201,1001001,1111111111111111111111111111111111111111111111111111111111111111111111111	# 14 a(n) = 73 written in base 14 - n.
A095541	FiniteSequence	54,59,62,68,74,82,112,134,202,244,1022,2202,1001010,11111111111111111111111111111111111111111111111111111111111111111111111111	# 14 a(n) = 74 written in base 14 - n.
A095543	FiniteSequence	63,69,75,83,113,135,203,300,1023,2210,1001011,111111111111111111111111111111111111111111111111111111111111111111111111111	# 12 a(n) = 75 written in base 12 - n.
A095545	FiniteSequence	76,84,114,136,204,301,1030,2211,1001100,1111111111111111111111111111111111111111111111111111111111111111111111111111	# 10 a(n) = 76 written in base 10 - n.
A095547	FiniteSequence	65,70,77,85,115,140,205,302,1031,2212,1001101,11111111111111111111111111111111111111111111111111111111111111111111111111111	# 12 a(n) = 77 written in base 12 - n.
A095549	FiniteSequence	53,58,60,66,71,78,86,116,141,210,303,1032,2220,1001110,111111111111111111111111111111111111111111111111111111111111111111111111111111	# 15 a(n) = 78 written in base 15 - n.
A095551	FiniteSequence	54,59,61,67,72,79,87,117,142,211,304,1033,2221,1001111,1111111111111111111111111111111111111111111111111111111111111111111111111111111	# 15 a(n) = 79 written in base 15 - n.
A095553	FiniteSequence	62,68,73,80,88,120,143,212,310,1100,2222,1010000,11111111111111111111111111111111111111111111111111111111111111111111111111111111	# 13 a(n) = 80 written in base 13 - n.
A095555	FiniteSequence	63,69,74,81,100,121,144,213,311,1101,10000,1010001,111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 13 a(n) = 81 written in base 13 - n.
A095557	FiniteSequence	75,82,101,122,145,214,312,1102,10001,1010010,1111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 11 a(n) = 82 written in base 11 - n.
A095559	FiniteSequence	76,83,102,123,146,215,313,1103,10002,1010011,11111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 11 a(n) = 83 written in base 11 - n.
A095561	FiniteSequence	54,59,60,66,70,77,84,103,124,150,220,314,1110,10010,1010100,111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 16 a(n) = 84 written in base 16 - n.
A095563	FiniteSequence	61,67,71,78,85,104,125,151,221,320,1111,10011,1010101,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 14 a(n) = 85 written in base 14 - n.
