A061097	372	pass	36	 ms
A061098	100	pass	15	 ms
A061142	10005	pass	43	 ms
A061217	10000	pass	19	 ms
A061277	10000	pass	422	 ms
A061288	10000	pass	17	 ms
A061322	12	pass	0	 ms
A061345	10001	pass	68	 ms
A061346	10000	pass	27	 ms
A061358	10001	pass	46	 ms
A061374	34	pass	104	 ms
A061377	82	pass	17	 ms
A061417	100	pass	17	 ms
A061420	2001	pass	11	 ms
A061431	342	pass	3958	 ms
A061498	10000	pass	1696	 ms
A061704	10000	pass	47	 ms
A061810	53	pass	11	 ms
A061811	10000	pass	398	 ms
A061817	45	pass	7	 ms
A061825	10000	pass	425	 ms
A061826	47	pass	8	 ms
A061829	10000	pass	295	 ms
A061831	10000	pass	954	 ms
A061832	46	pass	0	 ms
A061833	1000	pass	46	 ms
A061836	10001	pass	23	 ms
A061853	30030	pass	20	 ms
A061867	44	pass	18	 ms
A061884	20000	pass	143	 ms
A061898	20000	pass	116	 ms
A061903	10001	pass	29	 ms
A061910	1000	pass	451	 ms
A061917	10000	pass	75	 ms
A061230	2679	FATO	timeout	  4001 ms
A061235	53	FATO	timeout	  4044 ms
A061366	226	FATO	timeout	  4041 ms
A061446	450	FATO	timeout	  4006 ms
A061455	100	FATO	timeout	  4454 ms
A061505	4592	FATO	timeout	  4002 ms
A061553	112	FATO	timeout	  4179 ms
A061677	134	FATO	timeout	  5079 ms
A061768	127	FATO	timeout	  4037 ms
A061909	0	FATOK	blocked	  4000 ms
A062048	1000	pass	64	 ms
A062079	100	pass	91	 ms
A062270	16	pass	9	 ms
A062273	999	pass	256	 ms
A062301	3000	pass	85	 ms
A062338	10000	pass	270	 ms
A062342	47	pass	10	 ms
A062348	99	pass	15	 ms
A062349	99	pass	13	 ms
A062357	1000	pass	11	 ms
A062358	100	pass	13	 ms
A062359	100	pass	11	 ms
A062363	101	pass	290	 ms
A062370	10000	pass	116	 ms
A062373	20000	pass	342	 ms
A062380	10000	pass	52	 ms
A062402	10000	pass	43	 ms
A062412	100	pass	32	 ms
A062440	100	pass	18	 ms
A062506	71	pass	10	 ms
A062509	1000	pass	12	 ms
A062550	10001	pass	51	 ms
A062558	1001	pass	14	 ms
A062624	201	pass	44	 ms
A062627	201	pass	27	 ms
A062687	10000	pass	3677	 ms
A062692	3320	pass	954	 ms
A062729	10000	pass	149	 ms
A062755	100	pass	24	 ms
A062771	10000	pass	66	 ms
A062785	10000	pass	66	 ms
A062793	386	pass	64	 ms
A062794	449	pass	56	 ms
A062799	10000	pass	300	 ms
A062804	16	pass	125	 ms
A062835	10000	pass	1355	 ms
A062847	550	pass	1696	 ms
A062871	101	pass	40	 ms
A062876	10000	pass	87	 ms
A062901	10000	pass	18	 ms
A062903	10000	pass	32	 ms
A062904	10000	pass	28	 ms
A062952	10000	pass	48	 ms
A062981	100	pass	16	 ms
A062070	5792	FATO	timeout	  4006 ms
A062088	691	FATO	timeout	  4044 ms
A062248	287	FATO	timeout	  4009 ms
A062654	4	FATO	timeout	  6938 ms
A062688	0	FATOK	blocked	  4000 ms
A062845	67	FATO	timeout	  4110 ms
A063017	201	pass	494	 ms
A063077	1000	pass	235	 ms
A063084	1000	pass	30	 ms
A063085	1000	pass	17	 ms
A063086	1000	pass	19	 ms
A063110	50	pass	24	 ms
A063123	10000	pass	81	 ms
A063163	1000	pass	52	 ms
A063170	386	pass	2473	 ms
A063377	20000	pass	686	 ms
A063445	10000	pass	60	 ms
A063510	105	pass	47	 ms
A063511	8192	pass	24	 ms
A063659	10000	pass	40	 ms
A063696	39	pass	27	 ms
A063715	55	pass	13	 ms
A063776	3333	pass	325	 ms
A063894	28	pass	4	 ms
A063895	1000	pass	313	 ms
A063915	10001	pass	52	 ms
A063946	32768	pass	79	 ms
A063955	10000	pass	1095	 ms
A063101	41	FATO	timeout	  4050 ms
A063124	1573	FATO	timeout	  4008 ms
A063271	55	FATO	timeout	  4113 ms
A063414	472	FATO	timeout	  4013 ms
A063428	952	FATO	timeout	  4043 ms
A063454	1301	FATO	timeout	  4014 ms
