aseqno	info
A055869	a(n)=(n+1)^n-n^n
A055897	a(n)=n*(n-1)^(n-1)
A055937	a(n)=a(n-1)*a(n-2)-1
A056788	a(n)=n^n+(n-1)^(n-1)
A057813	a(n)=(2*n+1)*(4*n^2+4*n+3)/3
A058232	a(n)=(a(n-1)a(n-5)+a(n-2)a(n-4)+a(n-3)^2)/a(n-6)
A058373	a(n)=(1/6)*(2*n-3)*(n+2)*(n+1)
A058891	a(n)=2^(2^(n-1)-1)
A059165	a(n)=(n+1)*2^(n+4)
A059304	a(n)=2^n*(2*n)!/(n!)^2
A059918	a(n)=(3^(2^n)-1)/2
A060072	a(n)=(n^(n-1)-1)/(n-1)
A060073	a(n)=(n^(n-1)-1)/(n-1)^2
A060226	a(n)=n^n-n*(n-1)^(n-1)
A060242	a(n)=(2^n-1)*(4^n-1)
A060348	a(n)=n^n*(n^2-1)/24
A060349	a(n)=n^(n+2)*(n^2-1)*(n+3)*(n+2)*(5*n-7)/5760
A060375	a(n)=(n+2)^(n+3)-n^(n+1)
A060722	a(n)=3^(n^2)
A060757	a(n)=4^(n^2)
A060758	a(n)=5^(n^2)
A060759	a(n)=7^(n^2)
A060760	a(n)=8^(n^2)
A060761	a(n)=9^(n^2)
A061063	a(n)=2^(2^n)*3^(2^n)-2^(2^n)-3^(2^n)
A061162	a(n)=(6n)!n!/((3n)!(2n)!^2)
A061163	a(n)=(10n)!*n!/((5n)!*(4n)!*(2n)!)
A061164	a(n)=(20*n)!n!/((10*n)!(7*n)!(4*n)!)
A061190	a(n)=n^n-n
A061252	a(n)=16^n-15^n
A061301	a(n)=2^(n*2^(n-1))
A061640	a(n)=!n*n!
A061711	a(n)=n!*n^n
A061718	a(n)=(n*(n+1)/2)^n
A061999	a(n)=2a(n-1)^2-2a(n-2)^2
A062000	a(n)=a(n-1)^2-a(n-2)^2
A062023	a(n)=(n^(n+1)+n^(n-1))/2
A062024	a(n)=((n+1)^n+(n-1)^n)/2
A062076	a(n)=(2n-1)^n*n^(2n-1)
A062077	a(n)=(2n)^n*n^(2n)
A062098	a(n)=7*n!
A062157	a(n)=0^n-(-1)^n
A062158	a(n)=n^3-n^2+n-1
A062206	a(n)=n^(2n)
A062782	a(n)=(n^2)!/(n^n)
A062971	a(n)=(2*n)^n
A063486	a(n)=2^(2^n)+5
A064100	a(n)=(100^n-1)/99*n
A064335	a(n)=6*(2*n)!/(n+2)
A064350	a(n)=(3*n)!/n!
A064352	a(n)=(3*n)!/(2*n)!
A064585	a(n)=n^24*(n^2-1)*(n^6+1)*(n^8-1)*(n^12+1)
A064587	a(n)=n^6*(n^4+n^2+1)*(n^3-1)*(n-1)
A064588	a(n)=(2^n)^12*((2^n)^2-1)*((2^n)^6-1)*((2^n)^8+(2^n)^4+1)
