aseqno	info
A168634	a(n)=n^6*(n^10+1)/2
A168665	a(n)=n^7*(n^8+1)/2
A168666	a(n)=n^7*(n^9+1)/2
A168667	a(n)=n^7*(n^10+1)/2
A169687	a(n)=3^n-3*2^(n-2)
A170776	a(n)=n^8*(n^4+1)/2
A170778	a(n)=n^8*(n^6+1)/2
A170779	a(n)=n^8*(n^7+1)/2
A170780	a(n)=n^8*(n^8+1)/2
A170781	a(n)=n^8*(n^9+1)/2
A170782	a(n)=n^8*(n^10+1)/2
A170785	a(n)=n^9*(n^3+1)/2
A170787	a(n)=n^9*(n^5+1)/2
A170788	a(n)=n^9*(n^6+1)/2
A170789	a(n)=n^9*(n^7+1)/2
A170790	a(n)=n^9*(n^8+1)/2
A170791	a(n)=n^9*(n^9+1)/2
A170792	a(n)=n^9*(n^10+1)/2
A170794	a(n)=n^10*(n^2+1)/2
A170795	a(n)=n^10*(n^3+1)/2
A170796	a(n)=n^10*(n^4+1)/2
A170797	a(n)=n^10*(n^5+1)/2
A170798	a(n)=n^10*(n^6+1)/2
A170799	a(n)=n^10*(n^7+1)/2
A170800	a(n)=n^10*(n^8+1)/2
A170801	a(n)=n^10*(n^9+1)/2
A170802	a(n)=n^10*(n^10+1)/2
A171129	a(n)=(n^4-n^3-n^2-n)/2
A171739	a(n)=2^(n*(n-1)/2)*3^(n*(n+1)/2)
A171800	a(n)=((n+1)*2^n+1)*(2^n+1)^(n-1)
A171874	a(n)=a(n-1)+a(n-2)*a(n-3)+a(n-4)^a(n-5)
A172603	a(n)=(7n)!/(7!^n)
A172609	a(n)=(8n)!/(8!^n)
A172613	a(n)=(9n)!/(9!^n)
A173254	a(n)=a(n-1)+a(n-2)-(a(n-2)/2)-(a(n-4)/2)
A173314	a(n)=6*n!+1
A173332	a(n)=a(n-2)+a(n-3)-(a(n-4)/2)-(a(n-6)/2)
A173514	a(n)=2*a(n-1)+a(n-2)-(a(n-2)/2)-(a(n-4)/2)-(a(n-5)/2)
A173534	a(n)=a(n-1)+2*a(n-2)-(a(n-1)/2)-(a(n-4)/2)-(a(n-5)/2)
A173538	a(n)=a(n-1)+a(n-2)-(a(n-2)/4)-(a(n-3)/2)-(a(n-4)/4)
A173564	a(n)=a(n-1)+a(n-2)-(a(n-3)/4)-(a(n-4)/2)-(a(n-5)/4)
A173597	a(n)=a(n-1)+a(n-2)-(a(n-4)/4)-(a(n-5)/2)-(a(n-6)/4)
A173599	a(n)=a(n-1)+a(n-2)-(a(n-2)/4)-(a(n-4)/2)-(a(n-6)/4)
A173633	a(n)=a(n-2)+a(n-3)-(a(n-3)/4)-(a(n-4)/2)-(a(n-5)/4)
A173659	a(n)=a(n-1)+8a(n-2)-3a(n-3)-17a(n-4)+a(n-5)+13a(n-6)+4a(n-7)-6a(n-8)-a(n-9)
A174549	a(n)=(2*n-1)!+(2*n)!
A174962	a(n)=n^n*(3+n)/2
A175161	a(n)=8*(2^n+1)
A175163	a(n)=32*(2^n+1)
A175164	a(n)=16*(2^n-1)
A175430	a(n)=(n-1)!*(n+1)!
A175558	a(n)=167^n
A175771	a(n)=((n^2+1)^n-1)/n^3
A175925	a(n)=(2*n+1)*(n+1)!
A176043	a(n)=(2*n-1)*(n-1)^(n-1)
A176128	a(n)=(n*n!)^2
A176594	a(n)=5^(2^n)
A176595	a(n)=11^(2^n)
A177885	a(n)=(1-n)^(n-1)
A178390	a(n)=(n^2+1)^2+1
A178391	a(n)=(n^3+1)^3+1
A178392	a(n)=(n^2-1)^2-1
A178922	a(n)=(n+1)^n-n^(n-1)
A179442	a(n)=((n-1)!*(n+1)!)/n
A179870	a(n)=((n-1)!*(n+1)!)^2
A182370	a(n)=(n!)!/(n!^(n-1)!)
A184358	a(n)=(n+1)!^2/2^n
A184423	a(n)=(2*n)!*(3*n)!/n!^5
A185141	a(n)=(n!)^(2*n)
A185353	a(n)=(1^1+2^2
A185968	a(n)=n^2*2^(n^2-1)
A185981	a(n)=2^(2*(5^(n-1)-1))
A186636	a(n)=n*(n^3+n^2+2*n+1)
A186639	a(n)=n!/2-(-2)^(n-2)*(n-2)
A187879	a(n)=3^(n^3)
A188526	a(n)=3^(2*n+3)+2^n
A190578	a(n)=n^7+n
A190780	a(n)=2*(n^8+224*n^4+256)^2
A190999	a(n)=2^(n^2)*(2^(2*n+1)-1)
A193637	a(n)=a(n-1)^2-n^(n+1)
A193651	a(n)=((2*n+1)!!+1)/2
A193925	a(n)=a(n-1)^2-n^(n-2)+n
A196258	a(n)=11^n*n!
A198411	a(n)=(4^(2^n)+2^(2^n)+1)/7
A202689	a(n)=(2n)!(n+1)!/2^(2n)
A207817	a(n)=(4*n)!/(n!^4*(n+1))
A209261	a(n)=n^13+13*n+13^n
A209876	a(n)=36*n-6
A212805	a(n)=(1-(n-1)/2^n)*(n!)^n
A213167	a(n)=n!-(n-2)!
A213168	a(n)=n!/2-(n-1)!-n+2
A213236	a(n)=(-n)^(n-1)
A213326	a(n)=(n+2)^n-(n+1)^n
A216179	a(n)=10^n+3
A217628	a(n)=3^((n-1)*(n+2)/2)
A217994	a(n)=2^((2+n+n^2)/2)
A218089	a(n)=n*((n+1)^n-n^(n-1))
A218148	a(n)=2^((6+5*n+n^3)/6)
A218149	a(n)=3^((6+5*n+n^3)/6)
A218151	a(n)=2*3^n*5^(n(n-1)/2)
A219619	a(n)=n!*(n^4+n^2+1)
A220092	a(n)=((2*n-1)!!+(-1)^((n-1)*(n-2)/2))/2
A220161	a(n)=1+2^(2^n)+2^(2^(n+1))
A220294	a(n)=1-2^(2^n)+2^(2^(n+1))
A221740	a(n)=-4*((n-1)*(n+1)^(n+1)+1)/(((-1)^n-3)*n^3)
A221741	a(n)=-4*(((n+1)^(n+1)-(n+1))/((n+1)-1)^2-1)/((-3+(-1)^n)*n)
A222621	a(n)=(2n-1)^(2n)
A224317	a(n)=a(n-1)+3-a(n-1)!
A225658	a(n)=n!+(n+1)!+3*(n+2)!
A226730	a(n)=n!+(2*n-1)!/(n-1)!
A226731	a(n)=(2n-1)!/(2n)
A227169	a(n)=3*((2*n+2)!)^2/(n!*(n+1)!*(n+2)!*(n+3)!)
A228484	a(n)=2^n*(3*n)!/(n!*(2*n)!)
A228889	a(n)=3*n*(3*n+1)*(3*n+2)
A230304	a(n)=10^((10^n-1)/9+n)+1
A231712	a(n)=n^n+n-1
A232994	a(n)=6*(n-3)*(n-4)*2^(n-3)*n^(n-4)
A232995	a(n)=(n-3)^2*(n-4)*2^n*n^(n-5)
A232998	a(n)=2^((n+1)^2)*3^(n*(n+1))
A235378	a(n)=(-1)^n*(n!-(-1)^n)
A241958	a(n)=(3*n+3)!/((4*(n+1)^2-1)*((n+1)!)^2*(n+2)!)
A248152	a(n)=48*4^n*(2*n-1)!!*(2*n+3)!!/((n+2)!*(n+4)!)
A248814	a(n)=(6n)!/(6!^n)
A251583	a(n)=3^(n-1)*(n+1)^(n-3)*(n+3)
A251584	a(n)=4^(n-2)*(n+1)^(n-4)*(3*n^2+13*n+16)
A251585	a(n)=5^(n-3)*(n+1)^(n-5)*(16*n^3+87*n^2+172*n+125)
A251586	a(n)=6^(n-4)*(n+1)^(n-6)*(125*n^4+810*n^3+2095*n^2+2586*n+1296)
A251587	a(n)=7^(n-5)*(n+1)^(n-7)*(1296*n^5+9720*n^4+30555*n^3+50665*n^2+44621*n+16807)
A251588	a(n)=8^(n-6)*(n+1)^(n-8)*(16807*n^6+143031*n^5+525875*n^4+1074745*n^3+1294846*n^2+876856*n+262144)
A251589	a(n)=9^(n-7)*(n+1)^(n-9)*(262144*n^7+2494464*n^6+10470208*n^5+25229505*n^4+37857568*n^3+35537670*n^2+19414368*n+4782969)
A251590	a(n)=10^(n-8)*(n+1)^(n-10)*(4782969*n^8+50309748*n^7+237013938*n^6+655232760*n^5+1166624361*n^4+1374998212*n^3+1051760172*n^2+479277840*n+100000000)
A251657	a(n)=(2^n+3)^n
A251693	a(n)=(n+1)*(2*n+1)^(n-2)*3^n
A251694	a(n)=(2*n+1)*(3*n+1)^(n-2)*4^n
A251695	a(n)=(3*n+1)*(4*n+1)^(n-2)*5^n
A251696	a(n)=(4*n+1)*(5*n+1)^(n-2)*6^n
A251697	a(n)=(5*n+1)*(6*n+1)^(n-2)*7^n
A251698	a(n)=(6*n+1)*(7*n+1)^(n-2)*8^n
A251699	a(n)=(7*n+1)*(8*n+1)^(n-2)*9^n
A251700	a(n)=(8*n+1)*(9*n+1)^(n-2)*10^n
A252491	a(n)=(10^(n^2)-1)/(10^n-1)
A253604	a(n)=(n^(n-1)+1)^n
A254381	a(n)=3^n*(2*n+1)!/n!
A254619	a(n)=4^n*(2*n+1)!/n!
A254620	a(n)=9^n*(2*n+1)!/n!
A254866	a(n)=(n!!)^n
A256509	a(n)=(n!)!-n!-1
A256511	a(n)=((n^2)-1)!
A256669	a(n)=(n!)!-n!-n
A257093	a(n)=n*(n+1)*(13*n+2)/6
A257925	a(n)=(n^2-n+1)*(n^2+n-1)
A258385	a(n)=n^(n+1)*(n-1)^n
A258388	a(n)=n^(n+1)+(n-1)^n
A259925	a(n)=(n^2-n-1)^n
A259926	a(n)=n^(2n)-n^(2n-1)
A260982	a(n)=(2^(2^(n+1))+2^(2^n)+1)/21
A261067	a(n)=(11^(2^n)-1)/2^(n+2)
A261071	a(n)=2^(n!)+1
A261193	a(n)=n!-2
A262032	a(n)=(2^n)!/n!
A262067	a(n)=n^n-(n-2)^n
A262187	a(n)=(3^n)!/n!
A262718	a(n)=(n+1)^n-2*(n^n)+(n-1)^n
A262732	a(n)=(1/n!)*(5*n)!/(5*n/2)!*(3*n/2)!/(3*n)!
A262733	a(n)=(1/n!)*(7*n)!/(7*n/2)!*(5*n/2)!/(5*n)!
A264153	a(n)=((2*n)!)^2/2^n
A269442	a(n)=n*(n^8+1)*(n^4+1)*(n^2+1)*(n+1)+1
A269446	a(n)=n*(n^6+n^3+1)*(n^6-n^3+1)*(n^2+n+1)*(n^2-n+1)*(n+1)+1
A269527	a(n)=n^20+n^15+n^10+n^5+1
A271212	a(n)=(2n-1)*a(n-1)+2*(n-2)*a(n-2)
A272068	a(n)=(10^n-1)^5
A273319	a(n)=((2*n+1)^(n+1)+(-1)^n)/(n+1)^2
A273628	a(n)=(7*n)!/((5*n)!*n!^2)
A273629	a(n)=(9*n)!/((7*n)!*n!^2)
A273889	a(n)=((4n-3)!!+(4n-2)!!)/(4n-1)
A273983	a(n)=((4*n)!!-(4*n-1)!!)/(4*n+1)
A274117	a(n)=((6n-5)!!!+(6n-4)!!!)/(6n-3)
A274136	a(n)=(n+1)*(2*n+2)!/(n+2)
A274265	a(n)=(3*n-1)^(n-1)
A274267	a(n)=(4*n-1)^(n-1)
A274269	a(n)=(5*n-1)^(n-1)
A274990	a(n)=2(n)(n-2)
A274991	a(n)=2(n)(n+3)
A275002	a(n)=2*n^(2*n^2+2)
A275329	a(n)=(2+(n/2))*n!/((1+(n/2))*(n/2)!^2)
A275539	a(n)=n!+n*(n-1)!!
A275540	a(n)=n!+n!!-n-1
A275654	a(n)=(5*n)!/((3*n)!*n!^2)*((3*n/2)!*(7*n/2)!)/(5*n/2)!^2
A275779	a(n)=(2^(n^2)-1)/(1-1/2^n)
A275929	a(n)=2*(n-1)!+n+1
A276098	a(n)=(7*n)!*(3/2*n)!/((7*n/2)!*(3*n)!*(2*n)!)
A276099	a(n)=(9*n)!*(5/2*n)!/((9*n/2)!*(5*n)!*(2*n)!)
A276100	a(n)=(15*n)!*(n/2)!/((15*n/2)!*(5*n)!*(3*n)!)
A276101	a(n)=(10*n)!*(n/3)!/((5*n)!*(10*n/3)!*(2*n)!)
A276102	a(n)=(6*n)!*(n/5)!/((3*n)!*(2*n)!*(6*n/5)!)
A276274	a(n)=(2*n+1)^(2*(2*n+1)^2)
A276972	a(n)=n^(2*(2*n^4+1))
A279538	a(n)=-n^3+70*n^2-939*n+2393
A280089	a(n)=4*n^3-3*n+1
A280100	a(n)=4^(2*n)*(n!)^3*(n+1)!
A280211	a(n)=n*(2^(n^2))
A280222	a(n)=(-3)^(n-1)*a(n-1)+a(n-2)
A280305	a(n)=(n^(2n)-(n-1)^(2n))/(2n-1)
A280428	a(n)=1729*n^3
A280797	a(n)=(n^n-1)(n^n+1)/(n+1)
A280845	a(n)=16^n*n*(n!)^4
A281595	a(n)=(n^n-3*(n-1)^n+3*(n-2)^n-(n-3)^n)/6
A281596	a(n)=((n-2)^n-2*(n-1)^n+n^n)/2
A281997	a(n)=(n-1)^n*n^n
A282232	a(n)=((3*n+1)^6-1)/9
A283048	a(n)=(6*n^2)!/((n^2)!^6)
A291547	a(n)=((2*n-1)!!)^n
A291699	a(n)=n^n*(2*n)!/(n!*(n+1)!)
A294445	a(n)=(2*n+4)!*(n^2+11*n+2)/(2*(n-1)!*(n+6)!)
A295431	a(n)=(12*n)!*n!/((6*n)!*(4*n)!*(3*n)!)
A295432	a(n)=(12*n)!*(3*n)!*(2*n)!/((6*n)!*(6*n)!*(4*n)!*n!)
A295433	a(n)=(12*n)!*n!/((8*n)!*(3*n)!*(2*n)!)
A295434	a(n)=(12*n)!*(3*n)!/((8*n)!*(6*n)!*n!)
A295435	a(n)=(12*n)!*(3*n)!/((6*n)!*(5*n)!*(4*n)!)
A295436	a(n)=(12*n)!*(5*n)!/((10*n)!*(4*n)!*(3*n)!)
A295437	a(n)=(18*n)!*n!/((9*n)!*(6*n)!*(4*n)!)
A295438	a(n)=(9*n)!*(2*n)!/((6*n)!*(4*n)!*n!)
A295439	a(n)=(9*n)!*(4*n)!/((8*n)!*(3*n)!*(2*n)!)
A295440	a(n)=(18*n)!*(4*n)!*(3*n)!/((9*n)!*(8*n)!*(6*n)!*(2*n)!)
A295441	a(n)=(9*n)!*n!/((5*n)!*(3*n)!*(2*n)!)
A295442	a(n)=(18*n)!*(5*n)!*(3*n)!/((10*n)!*(9*n)!*(6*n)!*n!)
A295443	a(n)=(18*n)!*(4*n)!/((12*n)!*(9*n)!*n!)
A295444	a(n)=(12*n)!*(2*n)!/((9*n)!*(4*n)!*n!)
A295445	a(n)=(18*n)!*(2*n)!/((9*n)!*(6*n)!*(5*n)!)
A295446	a(n)=(10*n)!*(6*n)!/((9*n)!*(5*n)!*(2*n)!)
A295447	a(n)=(14*n)!*(3*n)!/((9*n)!*(7*n)!*n!)
A295448	a(n)=(18*n)!*(3*n)!*(2*n)!/((9*n)!*(7*n)!*(6*n)!*n!)
A295449	a(n)=(12*n)!*(2*n)!/((7*n)!*(4*n)!*(3*n)!)
A295450	a(n)=(14*n)!*(6*n)!*(4*n)!/((12*n)!*(7*n)!*(3*n)!*(2*n)!)
A295451	a(n)=(14*n)!*n!/((7*n)!*(5*n)!*(3*n)!)
A295452	a(n)=(10*n)!*(6*n)!*n!/((7*n)!*(5*n)!*(3*n)!*(2*n)!)
A295453	a(n)=(15*n)!*n!/((9*n)!*(5*n)!*(2*n)!)
A295454	a(n)=(30*n)!*(9*n)!*(5*n)!/((18*n)!*(15*n)!*(10*n)!*n!)
A295455	a(n)=(15*n)!*(4*n)!/((12*n)!*(5*n)!*(2*n)!)
A295456	a(n)=(30*n)!*(5*n)!*(4*n)!/((15*n)!*(12*n)!*(10*n)!*(2*n)!)
A295457	a(n)=(15*n)!*(4*n)!/((8*n)!*(6*n)!*(5*n)!)
A295458	a(n)=(30*n)!*(5*n)!*(4*n)!/((15*n)!*(10*n)!*(8*n)!*(6*n)!)
A295459	a(n)=(15*n)!*(2*n)!/((10*n)!*(4*n)!*(3*n)!)
A295460	a(n)=(30*n)!*(3*n)!*(2*n)!/((15*n)!*(10*n)!*(6*n)!*(4*n)!)
A295462	a(n)=(15*n)!*(2*n)!/((10*n)!*(6*n)!*n!)
A295463	a(n)=(15*n)!*(7*n)!/((14*n)!*(5*n)!*(3*n)!)
A295464	a(n)=(30*n)!*(5*n)!*(3*n)!/((15*n)!*(10*n)!*(7*n)!*(6*n)!)
A295465	a(n)=(30*n)!*(5*n)!*(3*n)!/((15*n)!*(12*n)!*(10*n)!*n!)
A295466	a(n)=(15*n)!*(6*n)!*n!/((12*n)!*(5*n)!*(3*n)!*(2*n)!)
A295467	a(n)=(15*n)!*n!/((8*n)!*(5*n)!*(3*n)!)
A295468	a(n)=(30*n)!*(5*n)!*(3*n)!*(2*n)!/((15*n)!*(10*n)!*(8*n)!*(6*n)!*n!)
A295469	a(n)=(20*n)!*(3*n)!/((12*n)!*(10*n)!*n!)
A295470	a(n)=(20*n)!*(6*n)!*n!/((12*n)!*(10*n)!*(3*n)!*(2*n)!)
A295471	a(n)=(20*n)!*n!/((10*n)!*(8*n)!*(3*n)!)
A295472	a(n)=(20*n)!*(3*n)!*(2*n)!/((10*n)!*(8*n)!*(6*n)!*n!)
A295474	a(n)=(20*n)!*(7*n)!*(2*n)!/((14*n)!*(10*n)!*(4*n)!*n!)
A295475	a(n)=(20*n)!*(3*n)!/((10*n)!*(9*n)!*(4*n)!)
A295476	a(n)=(20*n)!*(9*n)!*(6*n)!/((18*n)!*(10*n)!*(4*n)!*(3*n)!)
A295477	a(n)=(24*n)!*n!/((12*n)!*(8*n)!*(5*n)!)
A295478	a(n)=(24*n)!*(5*n)!*(2*n)!/((12*n)!*(10*n)!*(8*n)!*n!)
A295479	a(n)=(24*n)!*(4*n)!*n!/((12*n)!*(8*n)!*(7*n)!*(2*n)!)
A295480	a(n)=(24*n)!*(7*n)!*(4*n)!/((14*n)!*(12*n)!*(8*n)!*n!)
A295481	a(n)=(24*n)!*(4*n)!*(3*n)!/((12*n)!*(9*n)!*(8*n)!*(2*n)!)
A295482	a(n)=(24*n)!*(9*n)!*(6*n)!*(4*n)!/((18*n)!*(12*n)!*(8*n)!*(3*n)!*(2*n)!)
A298992	a(n)=(2*n-3-(-1)^n)*(22*n^2-21*n+5*n*(-1)^n)/96
A300254	a(n)=25*(n+1)*(4*n+3)*(5*n+4)/3
A300522	a(n)=(5*n+3)*(5*n+4)*(5*n+5)/6
A300523	a(n)=(5*n+5)*(5*n+6)*(5*n+7)/6
A300559	a(n)=n*(n+1)!/2+1
A301347	a(n)=n^(n-1)+(n-1)!
A302583	a(n)=((n+1)^n-(n-1)^n)/2
A302989	a(n)=n^n+n*n+n
A303734	a(n)=((2n+1)^(2n^2+2n)+(2n^2+2n)^(2n+1))/(2n^2+2n+1)
A304126	a(n)=(6*n)!*(4*n)!/((2*n)!*(3*n)!*(5*n)!)
A305067	a(n)=282*2^n-150
A308025	a(n)=n*(2*n-3-(-1)^n)*(5*n-2+(-1)^n)/16
A308026	a(n)=n*(2*n-3-(-1)^n)*(11*n+(-1)^n)/24
A317163	a(n)=48277590120607451+(n-1)*8440735245322380
A317164	a(n)=55837783597462913+(n-1)*13858932213216090
A317255	a(n)=149836681069944461+(n-1)*1723457117682300
A317259	a(n)=136926916457315893+(n-1)*9843204333812850
A317298	a(n)=(1/2)*(1+(-1)^n+2*n+4*n^2)
A317403	a(n)=(-1)^((n-2)*(n-1)/2)*2^(n-1)*n^(n-3)
A317450	a(n)=(-1)^((n-2)*(n-1)/2)*2^((n-1)^2)*n^(n-3)
A317637	a(n)=n*(n+1)*(n+3)
A317914	a(n)=142099325379199423+(n-1)*3691994023167450
A318184	a(n)=2^(n*(n-1)/2)*3^((n-1)*(n-2))*n^(n-3)
A318197	a(n)=2^((n-1)*(n+2)/2)*3^(n*(n-1))*n^n
A318297	a(n)=((2n-1)!+(4n-2)!/(2n-1)!)/(4n-1)
A319358	a(n)=(10^n-1)^9
A319578	a(n)=(1/3)*(n+2)^2*(3*n+3)!/(n+2)!^3
A319930	a(n)=(1/24)*n*(n-1)*(n-3)*(n-14)
A319931	a(n)=-(1/120)*n*(n-3)*(n-6)*(n^2-21*n+8)
A319932	a(n)=(1/720)*n*(n-10)*(n-1)*(n^3-34*n^2+181*n-144)
A320453	a(n)=(n^n+n*(-1)^n)/(n+1)
A321207	a(n)=(n*n!)^3
A321284	a(n)=2*(2^(35*3^n)+1)
A322406	a(n)=n+n*n^n
A322595	a(n)=(n^3+9*n+14*n+9)/3
A322783	a(n)=1-n+(2^(n+2)-(-1)^n)/3
A323218	a(n)=(4*n^3+30*n^2+50*n)/3+1
A323220	a(n)=n*(n+5)*(n+7)*(n+10)/24+1
A323221	a(n)=n*(n+5)*(n+7)/6+1
A323416	a(n)=(n-1)!*(10^n-1)/9
A324267	a(n)=11*7^(5*n)
A324268	a(n)=31*11^(5*n)
A324269	a(n)=3*11^(2*n)
A324270	a(n)=13*7^(7*n)
A324271	a(n)=181*13^(13*n)
A324272	a(n)=2*13^(2*n)
A325517	a(n)=n*((2*n+1)*(2*n^2+2*n+3)-3*(-1)^n)/24
A325656	a(n)=(1/24)*n*((4*n+3)*(2*n^2+1)-3*(-1)^n)
A325657	a(n)=(1/2)*(-1+(-1)^n)*(n-1)+n^2
