A000963	0,1,0,-4,7,-2	1,0,-7,0,3,0,-1
A000964	0,0,1,1,-3,1	1,0,-7,0,3,0,-1
A000970	0,0,0,0,0,1,3,3,4,2,3	1,-4,6,-4,1,-1,4,-6,4,-1
A000972	0,0,0,0,0,0,0,1,6,9,9,10,7,12,6,4	1,-6,15,-20,15,-6,1,-1,6,-15,20,-15,6,-1
A000973	0,0,0,0,0,0,0,0,1,7,7,1	1,-8,28,-56,70,-56,28,-8,1
A000982	0,-1,0,-1	-1,2,0,-2,1
A000993	1,-4,-68,59,723,-5,-1700,-500	1,-10,-30,300,129,-1290,-100,1000
A001014	0,-1,-57,-302,-302,-57,-1	-1,7,-21,35,-35,21,-7,1
A001015	0,1,120,1191,2416,1191,120,1	1,-8,28,-56,70,-56,28,-8,1
A001016	0,-1,-247,-4293,-15619,-15619,-4293,-247,-1	-1,9,-36,84,-126,126,-84,36,-9,1
A001017	0,1,502,14608,88234,156190,88234,14608,502,1	1,-10,45,-120,210,-252,210,-120,45,-10,1
A001018	1	1,-8
A001019	1	1,-9
A001020	1	1,-11
A001021	1	1,-12
A001022	1	1,-13
A001025	1	1,-16
A001045	0,1	1,-1,-2
A001047	0,1	1,-5,6
A001057	0,1	1,1,-1,-1
A001068	0,1,1,1,2	1,-1,0,0,-1,1
A001075	1,-2	1,-4,1
A001076	0,1	1,-4,-1
A001077	1,-2	1,-4,-1
A001079	1,-5	1,-10,1
A001080	0,3	1,-16,1
A001081	1,-8	1,-16,1
A001084	0,3	1,-20,1
A001085	1,-10	1,-20,1
A001090	0,1	1,-8,1
A001091	1,-4	1,-8,1
A001093	1,-2,7	1,-4,6,-4,1
A001094	0,1,-3,3,23	1,-5,10,-10,5,-1
A001095	0,1,-4,6,-4,121	1,-6,15,-20,15,-6,1
A001096	0,-1,5,-10,10,-5,-719	-1,7,-21,35,-35,21,-7,1
A001105	0,2,2	1,-3,3,-1
A001106	0,1,6	1,-3,3,-1
A001107	0,1,7	1,-3,3,-1
A001108	0,1,1	1,-7,7,-1
A001109	0,1	1,-6,1
A001110	0,1,1	1,-35,35,-1
A001112	0,1,1,3,4,11,136,283,419,1121,1540,-1121,419,-283,136,-11,4,-3,1,-1	1,0,0,0,0,0,0,0,0,0,-39202,0,0,0,0,0,0,0,0,0,1
A001117	-1,6,-11	-1,6,-11,6
A001118	-1,15,-85,225,-274	-1,15,-85,225,-274,120
A001148	1,2,7	1,-1,1,-1
A001169	0,1,-3,3,-1	1,-5,7,-4
A001204	7,2,1,1,3,4,1,-1,-1,0,1	1,0,0,0,0,-2,0,0,0,0,1
A001241	0,1	1,-50,840,-5760,13824
A001242	0,1	1,-274,27000,-1224000,25920000,-207360000
A001254	4,-7,-1	1,-2,-2,1
A001281	0,2,1,4	1,0,-2,0,1
A001287	0,0,0,0,0,0,0,0,0,0,1	1,-11,55,-165,330,-462,462,-330,165,-55,11,-1
A001288	0,0,0,0,0,0,0,0,0,0,0,1	1,-12,66,-220,495,-792,924,-792,495,-220,66,-12,1
A001296	0,1,2	1,-5,10,-10,5,-1
A001297	0,1,8,6	1,-7,21,-35,35,-21,7,-1
A001298	0,1,22,58,24	1,-9,36,-84,126,-126,84,-36,9,-1
A001299	1	1,-1,0,0,0,-1,1,0,0,0,-1,1,0,0,0,1,-1,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,-1,0,0,0,1,-1,0,0,0,-1,1
A001300	1	1,-1,0,0,0,-1,1,0,0,0,-1,1,0,0,0,1,-1,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,-1,0,0,0,1,-1,0,0,0,-1,1,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,-1,0,0,0,1,-1,0,0,0,-1,1,0,0,0,0,0,0,0,0,1,-1,0,0,0,-1,1,0,0,0,-1,1,0,0,0,1,-1
A001301	1	1,-1,-1,1,0,-1,1,1,-1,0,-1,1,1,-1,0,1,-1,-1,1,0,0,0,0,0,0,-1,1,1,-1,0,1,-1,-1,1,0,1,-1,-1,1,0,-1,1,1,-1
